age,workclass,education_num,marital_status,occupation,relationship,race,sex,hours_per_week,native_country,income,
30-35,Private,11,Married-civ-spouse,Other-service,Husband,White,Male,40,Puerto-Rico,<=50K,30-35
40-45,Private,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,48,United-States,<=50K,40-45
25-30,Private,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,<=50K,25-30
25-30,Private,13,Married-civ-spouse,Sales,Husband,White,Male,40,United-States,<=50K,25-30
30-35,?,4,Married-spouse-absent,?,Not-in-family,White,Male,40,?,<=50K,30-35
45-50,Private,9,Married-civ-spouse,Transport-moving,Husband,White,Male,40,United-States,<=50K,45-50
40-45,Private,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,45,United-States,>50K,40-45
25-30,Private,10,Divorced,Tech-support,Not-in-family,White,Male,58,United-States,<=50K,25-30
35-40,Private,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K,35-40
25-30,Private,10,Divorced,Adm-clerical,Not-in-family,White,Female,40,United-States,<=50K,25-30
50-55,Private,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,40,United-States,>50K,50-55
45-50,Self-emp-inc,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,>50K,45-50
20-25,?,10,Never-married,?,Own-child,White,Male,40,United-States,<=50K,20-25
-20,Private,10,Never-married,Prof-specialty,Own-child,White,Male,32,United-States,<=50K,70-75
30-35,Private,13,Separated,Sales,Own-child,Black,Female,40,United-States,<=50K,30-35
25-30,Self-emp-not-inc,13,Married-civ-spouse,Sales,Husband,White,Male,70,United-States,>50K,25-30
20-25,Private,10,Never-married,Machine-op-inspct,Not-in-family,White,Male,40,United-States,<=50K,20-25
75+,Private,10,Married-civ-spouse,Prof-specialty,Other-relative,White,Male,20,United-States,<=50K,75+
25-30,Private,9,Never-married,Other-service,Own-child,White,Male,40,Mexico,<=50K,25-30
35-40,Private,12,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,United-States,<=50K,35-40
65-70,?,6,Married-civ-spouse,?,Husband,White,Male,2,United-States,<=50K,65-70
-20,Private,7,Never-married,Other-service,Own-child,White,Female,22,United-States,<=50K,70-75
30-35,Local-gov,4,Married-civ-spouse,Farming-fishing,Husband,White,Male,40,United-States,<=50K,30-35
-20,Private,9,Never-married,Sales,Not-in-family,White,Male,30,United-States,<=50K,70-75
50-55,Private,13,Married-civ-spouse,Other-service,Husband,White,Male,40,Cuba,<=50K,50-55
45-50,Private,9,Married-civ-spouse,Other-service,Wife,White,Female,40,United-States,<=50K,45-50
55-60,Private,9,Married-civ-spouse,Sales,Husband,White,Male,48,United-States,<=50K,55-60
40-45,Private,9,Divorced,Craft-repair,Not-in-family,White,Female,40,United-States,>50K,40-45
50-55,Private,9,Divorced,Sales,Own-child,White,Female,35,United-States,<=50K,50-55
45-50,Local-gov,9,Married-civ-spouse,Protective-serv,Husband,White,Male,40,United-States,>50K,45-50
30-35,Private,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,United-States,<=50K,30-35
25-30,Private,5,Never-married,Sales,Not-in-family,White,Male,40,United-States,<=50K,25-30
40-45,Federal-gov,16,Never-married,Prof-specialty,Not-in-family,White,Female,50,United-States,>50K,40-45
55-60,Private,11,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,<=50K,55-60
35-40,Private,10,Divorced,Craft-repair,Unmarried,White,Female,40,United-States,<=50K,35-40
25-30,Private,10,Divorced,Machine-op-inspct,Unmarried,Black,Female,25,United-States,<=50K,25-30
25-30,Private,9,Married-civ-spouse,Sales,Wife,Asian-Pac-Islander,Female,35,?,<=50K,25-30
30-35,Local-gov,13,Married-civ-spouse,Protective-serv,Husband,White,Male,40,United-States,>50K,30-35
25-30,Local-gov,10,Never-married,Handlers-cleaners,Not-in-family,White,Male,50,United-States,<=50K,25-30
45-50,Self-emp-not-inc,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,60,United-States,>50K,45-50
35-40,Private,10,Married-civ-spouse,Sales,Husband,White,Male,48,United-States,>50K,35-40
45-50,Private,12,Divorced,Exec-managerial,Unmarried,White,Female,40,England,<=50K,45-50
30-35,Federal-gov,9,Never-married,Other-service,Own-child,Black,Male,40,United-States,<=50K,30-35
75+,Private,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,>50K,75+
40-45,Private,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,60,United-States,>50K,40-45
45-50,Self-emp-not-inc,14,Never-married,Prof-specialty,Not-in-family,White,Female,50,United-States,<=50K,45-50
20-25,Private,10,Never-married,Tech-support,Own-child,White,Female,40,United-States,<=50K,20-25
25-30,Private,9,Never-married,Craft-repair,Not-in-family,White,Male,40,United-States,<=50K,25-30
30-35,Self-emp-inc,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,>50K,30-35
-20,?,6,Never-married,?,Own-child,White,Female,32,United-States,<=50K,70-75
25-30,Private,7,Never-married,Handlers-cleaners,Own-child,White,Male,40,United-States,<=50K,25-30
30-35,Local-gov,9,Never-married,Adm-clerical,Not-in-family,White,Female,40,United-States,<=50K,30-35
40-45,Private,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40,United-States,<=50K,40-45
20-25,Private,13,Never-married,Sales,Other-relative,White,Male,40,United-States,<=50K,20-25
35-40,Private,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,>50K,35-40
55-60,Self-emp-not-inc,9,Married-civ-spouse,Other-service,Husband,White,Male,50,Canada,>50K,55-60
25-30,Private,10,Married-civ-spouse,Sales,Wife,White,Female,25,United-States,<=50K,25-30
35-40,Private,9,Never-married,Machine-op-inspct,Own-child,White,Female,40,United-States,<=50K,35-40
50-55,Private,5,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,50,United-States,<=50K,50-55
55-60,Self-emp-inc,10,Married-civ-spouse,Sales,Husband,White,Male,50,United-States,<=50K,55-60
45-50,Local-gov,11,Married-civ-spouse,Craft-repair,Husband,Black,Male,40,United-States,>50K,45-50
50-55,Private,10,Married-civ-spouse,Sales,Husband,White,Male,56,United-States,<=50K,50-55
20-25,Private,9,Never-married,Craft-repair,Not-in-family,White,Male,41,United-States,<=50K,20-25
20-25,Private,10,Never-married,Other-service,Own-child,White,Female,40,United-States,<=50K,20-25
35-40,Private,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,60,United-States,<=50K,35-40
25-30,Private,13,Never-married,Exec-managerial,Own-child,Black,Male,40,Germany,<=50K,25-30
25-30,State-gov,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,United-States,>50K,25-30
-20,Private,10,Never-married,Other-service,Own-child,Black,Male,35,United-States,<=50K,70-75
45-50,Private,13,Married-civ-spouse,Exec-managerial,Wife,White,Female,40,United-States,>50K,45-50
20-25,Private,10,Never-married,Adm-clerical,Own-child,White,Female,28,United-States,<=50K,20-25
30-35,Private,12,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,United-States,>50K,30-35
30-35,?,9,Married-civ-spouse,?,Husband,White,Male,40,United-States,<=50K,30-35
35-40,Private,10,Divorced,Craft-repair,Not-in-family,White,Male,40,United-States,<=50K,35-40
25-30,Private,12,Never-married,Sales,Not-in-family,White,Female,60,United-States,<=50K,25-30
20-25,Private,9,Never-married,Other-service,Not-in-family,White,Female,40,United-States,<=50K,20-25
35-40,Self-emp-not-inc,9,Married-civ-spouse,Craft-repair,Husband,White,Male,35,United-States,<=50K,35-40
35-40,Private,13,Married-civ-spouse,Sales,Husband,White,Male,50,United-States,<=50K,35-40
45-50,Private,12,Divorced,Tech-support,Not-in-family,Black,Female,36,United-States,<=50K,45-50
35-40,Federal-gov,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,Iran,>50K,35-40
40-45,Self-emp-not-inc,9,Married-civ-spouse,Craft-repair,Husband,White,Male,60,United-States,<=50K,40-45
25-30,Private,11,Married-civ-spouse,Adm-clerical,Wife,White,Female,35,United-States,<=50K,25-30
20-25,Private,10,Never-married,Sales,Own-child,White,Male,20,United-States,<=50K,20-25
45-50,Private,10,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,40,United-States,>50K,45-50
65-70,Self-emp-inc,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K,65-70
25-30,Private,10,Never-married,Sales,Own-child,White,Female,40,United-States,<=50K,25-30
-20,Private,10,Never-married,Other-service,Own-child,White,Male,30,Mexico,<=50K,70-75
40-45,Private,11,Never-married,Prof-specialty,Not-in-family,White,Female,40,United-States,>50K,40-45
65-70,Private,10,Never-married,Tech-support,Other-relative,White,Male,40,United-States,<=50K,65-70
30-35,Private,9,Never-married,Transport-moving,Unmarried,Black,Female,30,United-States,<=50K,30-35
20-25,Private,10,Married-civ-spouse,Other-service,Husband,White,Male,24,United-States,<=50K,20-25
35-40,Private,9,Widowed,Other-service,Unmarried,White,Female,24,United-States,<=50K,35-40
65-70,Private,7,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K,65-70
40-45,?,10,Divorced,?,Not-in-family,White,Female,40,United-States,<=50K,40-45
45-50,Local-gov,10,Divorced,Adm-clerical,Unmarried,White,Female,38,Mexico,<=50K,45-50
30-35,Private,9,Never-married,Adm-clerical,Not-in-family,White,Female,40,United-States,<=50K,30-35
30-35,Private,13,Never-married,Exec-managerial,Other-relative,Asian-Pac-Islander,Female,40,Philippines,<=50K,30-35
20-25,Private,9,Never-married,Craft-repair,Own-child,White,Male,35,United-States,<=50K,20-25
50-55,?,9,Divorced,?,Not-in-family,White,Male,45,United-States,>50K,50-55
45-50,Private,9,Married-civ-spouse,Craft-repair,Husband,White,Male,46,United-States,<=50K,45-50
20-25,Private,13,Never-married,Handlers-cleaners,Not-in-family,White,Male,40,United-States,<=50K,20-25
70-75,Self-emp-not-inc,10,Separated,Sales,Unmarried,Black,Male,2,United-States,<=50K,70-75
25-30,Private,9,Divorced,Craft-repair,Not-in-family,White,Male,60,United-States,<=50K,25-30
40-45,Private,13,Separated,Other-service,Other-relative,Black,Male,50,United-States,<=50K,40-45
65-70,?,2,Divorced,?,Not-in-family,White,Female,20,United-States,<=50K,65-70
20-25,Private,9,Never-married,Other-service,Unmarried,White,Female,40,United-States,<=50K,20-25
40-45,Self-emp-inc,14,Divorced,Exec-managerial,Unmarried,Asian-Pac-Islander,Female,40,United-States,<=50K,40-45
25-30,Private,9,Never-married,Exec-managerial,Not-in-family,Asian-Pac-Islander,Female,40,England,<=50K,25-30
40-45,Self-emp-not-inc,14,Married-civ-spouse,Sales,Husband,White,Male,40,United-States,>50K,40-45
35-40,Private,10,Divorced,Other-service,Unmarried,White,Female,40,Mexico,<=50K,35-40
35-40,Federal-gov,12,Never-married,Exec-managerial,Not-in-family,White,Male,42,United-States,<=50K,35-40
45-50,State-gov,14,Widowed,Protective-serv,Unmarried,White,Male,40,United-States,<=50K,45-50
-20,Private,7,Never-married,Handlers-cleaners,Own-child,White,Male,16,United-States,<=50K,70-75
65-70,Local-gov,11,Widowed,Prof-specialty,Not-in-family,White,Female,20,United-States,<=50K,65-70
25-30,Private,9,Never-married,Other-service,Not-in-family,White,Male,40,United-States,<=50K,25-30
25-30,State-gov,9,Married-civ-spouse,Protective-serv,Husband,White,Male,40,United-States,<=50K,25-30
50-55,Private,10,Married-civ-spouse,Sales,Husband,White,Male,40,United-States,>50K,50-55
25-30,Private,13,Never-married,Craft-repair,Not-in-family,White,Male,50,United-States,<=50K,25-30
25-30,State-gov,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,>50K,25-30
25-30,Private,9,Married-spouse-absent,Sales,Unmarried,White,Female,25,United-States,<=50K,25-30
20-25,Private,9,Never-married,Craft-repair,Own-child,Black,Male,40,United-States,<=50K,20-25
30-35,Private,9,Never-married,Handlers-cleaners,Not-in-family,Black,Male,40,United-States,<=50K,30-35
-20,Private,9,Never-married,Other-service,Own-child,White,Male,12,United-States,<=50K,70-75
30-35,Private,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,65,United-States,<=50K,30-35
40-45,Local-gov,10,Married-civ-spouse,Exec-managerial,Husband,Black,Male,38,United-States,>50K,40-45
40-45,Private,10,Divorced,Adm-clerical,Not-in-family,White,Female,40,United-States,<=50K,40-45
25-30,Private,10,Never-married,Craft-repair,Not-in-family,Black,Male,45,United-States,<=50K,25-30
35-40,Private,4,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,Mexico,>50K,35-40
35-40,Federal-gov,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,42,United-States,>50K,35-40
30-35,Private,9,Married-civ-spouse,Adm-clerical,Husband,Black,Male,40,United-States,<=50K,30-35
40-45,Self-emp-not-inc,13,Divorced,Exec-managerial,Not-in-family,White,Female,40,United-States,<=50K,40-45
50-55,?,13,Divorced,?,Not-in-family,White,Female,50,United-States,<=50K,50-55
30-35,Private,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,50,United-States,<=50K,30-35
55-60,State-gov,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,1,United-States,>50K,55-60
35-40,Private,10,Divorced,Machine-op-inspct,Not-in-family,Black,Female,28,United-States,<=50K,35-40
20-25,Private,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,<=50K,20-25
40-45,Local-gov,13,Married-civ-spouse,Craft-repair,Husband,Black,Male,40,United-States,<=50K,40-45
45-50,Private,10,Married-civ-spouse,Tech-support,Husband,White,Male,45,United-States,<=50K,45-50
40-45,Federal-gov,13,Married-civ-spouse,Tech-support,Husband,White,Male,24,United-States,<=50K,40-45
20-25,Private,3,Married-civ-spouse,Transport-moving,Other-relative,White,Male,40,Mexico,<=50K,20-25
35-40,Private,10,Divorced,Craft-repair,Not-in-family,White,Male,40,United-States,<=50K,35-40
35-40,Federal-gov,14,Never-married,Exec-managerial,Not-in-family,White,Female,55,United-States,>50K,35-40
30-35,Private,14,Married-civ-spouse,Prof-specialty,Other-relative,White,Male,40,United-States,>50K,30-35
20-25,Self-emp-not-inc,9,Never-married,Sales,Not-in-family,White,Male,40,United-States,<=50K,20-25
25-30,Private,14,Never-married,Prof-specialty,Not-in-family,White,Female,40,United-States,<=50K,25-30
-20,?,9,Never-married,?,Own-child,White,Male,40,Italy,<=50K,70-75
50-55,Private,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,>50K,50-55
40-45,Local-gov,10,Never-married,Prof-specialty,Not-in-family,White,Female,40,United-States,<=50K,40-45
35-40,State-gov,9,Divorced,Adm-clerical,Unmarried,White,Female,35,United-States,<=50K,35-40
-20,Private,7,Never-married,Sales,Own-child,White,Female,40,United-States,<=50K,70-75
35-40,Private,13,Married-civ-spouse,Other-service,Husband,Black,Male,36,United-States,>50K,35-40
30-35,Private,9,Divorced,Craft-repair,Not-in-family,White,Male,60,United-States,<=50K,30-35
55-60,Self-emp-inc,9,Married-civ-spouse,Sales,Wife,White,Female,35,United-States,>50K,55-60
-20,Private,7,Never-married,Sales,Own-child,White,Female,12,United-States,<=50K,70-75
40-45,Local-gov,9,Married-civ-spouse,Transport-moving,Husband,Black,Male,40,United-States,<=50K,40-45
35-40,Private,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,>50K,35-40
30-35,Private,10,Never-married,Sales,Not-in-family,Amer-Indian-Eskimo,Female,40,United-States,<=50K,30-35
55-60,Private,9,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,40,United-States,<=50K,55-60
50-55,Self-emp-inc,4,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,>50K,50-55
35-40,Private,13,Never-married,Exec-managerial,Not-in-family,Black,Male,60,United-States,>50K,35-40
45-50,Private,12,Divorced,Sales,Not-in-family,White,Female,40,United-States,<=50K,45-50
35-40,Private,13,Married-civ-spouse,Sales,Husband,White,Male,50,Poland,<=50K,35-40
40-45,Private,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,55,United-States,<=50K,40-45
20-25,Private,6,Never-married,Craft-repair,Not-in-family,White,Male,40,United-States,<=50K,20-25
30-35,Private,10,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40,United-States,<=50K,30-35
65-70,?,2,Divorced,?,Not-in-family,White,Male,40,United-States,<=50K,65-70
75+,Private,9,Never-married,Other-service,Not-in-family,Black,Male,40,United-States,<=50K,75+
50-55,Private,9,Married-civ-spouse,Adm-clerical,Husband,Black,Male,20,United-States,<=50K,50-55
50-55,Local-gov,1,Never-married,Machine-op-inspct,Not-in-family,White,Female,35,United-States,<=50K,50-55
-20,Private,9,Never-married,Sales,Own-child,White,Female,40,United-States,<=50K,70-75
55-60,?,6,Divorced,?,Not-in-family,Amer-Indian-Eskimo,Female,10,United-States,<=50K,55-60
65-70,Self-emp-not-inc,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,50,United-States,<=50K,65-70
70-75,Private,11,Widowed,Adm-clerical,Not-in-family,White,Female,20,Columbia,<=50K,70-75
65-70,Private,9,Divorced,Adm-clerical,Not-in-family,White,Female,40,United-States,<=50K,65-70
30-35,Private,7,Separated,Transport-moving,Not-in-family,Black,Male,40,United-States,<=50K,30-35
40-45,Private,9,Divorced,Sales,Unmarried,Black,Female,38,United-States,<=50K,40-45
20-25,Private,10,Never-married,Adm-clerical,Not-in-family,White,Male,42,United-States,<=50K,20-25
30-35,Private,10,Divorced,Craft-repair,Other-relative,Other,Female,40,United-States,<=50K,30-35
25-30,Private,15,Never-married,Prof-specialty,Not-in-family,White,Male,55,United-States,>50K,25-30
55-60,State-gov,9,Married-civ-spouse,Other-service,Husband,White,Male,40,United-States,<=50K,55-60
35-40,State-gov,10,Never-married,Adm-clerical,Not-in-family,White,Female,38,United-States,<=50K,35-40
40-45,Private,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,Iran,>50K,40-45
35-40,Local-gov,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,70,United-States,>50K,35-40
20-25,Private,9,Never-married,Transport-moving,Own-child,White,Male,40,United-States,<=50K,20-25
35-40,Private,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,>50K,35-40
40-45,Self-emp-not-inc,9,Married-civ-spouse,Other-service,Wife,White,Female,20,United-States,<=50K,40-45
20-25,State-gov,12,Married-civ-spouse,Protective-serv,Husband,White,Male,50,United-States,<=50K,20-25
20-25,?,10,Never-married,?,Own-child,White,Male,20,United-States,<=50K,20-25
35-40,Private,10,Divorced,Craft-repair,Not-in-family,White,Male,40,United-States,<=50K,35-40
55-60,Private,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,35,?,<=50K,55-60
55-60,Private,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,45,United-States,>50K,55-60
30-35,Private,9,Never-married,Other-service,Not-in-family,White,Female,34,United-States,<=50K,30-35
35-40,Private,12,Married-civ-spouse,Tech-support,Husband,White,Male,60,United-States,>50K,35-40
40-45,Private,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,?,<=50K,40-45
40-45,Private,15,Married-civ-spouse,Prof-specialty,Wife,White,Female,40,United-States,>50K,40-45
40-45,Private,13,Married-civ-spouse,Adm-clerical,Wife,Black,Female,40,United-States,<=50K,40-45
55-60,Local-gov,6,Widowed,Other-service,Unmarried,Black,Female,30,United-States,<=50K,55-60
-20,Local-gov,10,Never-married,Adm-clerical,Own-child,White,Male,40,United-States,<=50K,70-75
55-60,Private,10,Never-married,Transport-moving,Not-in-family,White,Male,20,United-States,<=50K,55-60
40-45,Self-emp-not-inc,9,Married-civ-spouse,Farming-fishing,Husband,Asian-Pac-Islander,Male,40,Cambodia,>50K,40-45
20-25,Private,9,Never-married,Other-service,Own-child,White,Female,40,United-States,<=50K,20-25
30-35,Private,9,Separated,Other-service,Not-in-family,White,Female,30,United-States,<=50K,30-35
40-45,Private,11,Widowed,Exec-managerial,Not-in-family,White,Female,45,United-States,<=50K,40-45
45-50,Private,4,Divorced,Craft-repair,Not-in-family,White,Male,40,United-States,<=50K,45-50
35-40,Private,13,Divorced,Prof-specialty,Own-child,White,Female,40,United-States,<=50K,35-40
40-45,Private,9,Married-civ-spouse,Sales,Husband,White,Male,60,United-States,<=50K,40-45
-20,Private,7,Never-married,Other-service,Own-child,White,Male,12,United-States,<=50K,70-75
55-60,Private,10,Married-civ-spouse,Sales,Husband,White,Male,40,United-States,<=50K,55-60
25-30,Private,7,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K,25-30
35-40,Self-emp-inc,10,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,75,Thailand,>50K,35-40
-20,?,10,Never-married,?,Own-child,White,Male,24,Canada,<=50K,70-75
65-70,Private,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,>50K,65-70
30-35,Private,13,Never-married,Prof-specialty,Not-in-family,White,Female,45,United-States,<=50K,30-35
30-35,Private,9,Married-civ-spouse,Craft-repair,Wife,White,Female,40,United-States,>50K,30-35
65-70,Private,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,>50K,65-70
-20,Private,5,Never-married,Other-service,Own-child,White,Male,24,United-States,<=50K,70-75
45-50,Self-emp-not-inc,14,Married-civ-spouse,Farming-fishing,Husband,White,Male,98,United-States,<=50K,45-50
25-30,Local-gov,14,Never-married,Prof-specialty,Own-child,White,Male,35,United-States,<=50K,25-30
25-30,Private,9,Divorced,Prof-specialty,Own-child,White,Female,40,United-States,<=50K,25-30
40-45,Private,9,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,40,United-States,<=50K,40-45
40-45,Private,10,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,>50K,40-45
30-35,Private,10,Never-married,Exec-managerial,Not-in-family,White,Female,40,United-States,<=50K,30-35
20-25,Private,10,Never-married,Tech-support,Own-child,White,Female,40,United-States,<=50K,20-25
